first,second,Total Cases
Age Group,0 to 17,1046
Age Group,18 to 44,23492
Age Group,45 to 64,21167
Age Group,65 to 74,7528
Age Group,75 and over,6130
Age Group,Unknown,124
Age 50 and over,Yes,29761
Age 50 and over,No,29602
Sex,Female,26991
Sex,Male,32412
Sex,Unknown,84
Borough,Bronx,11497
Borough,Brooklyn,16243
Borough,Manhattan,8653
Borough,Queens,19793
Borough,Staten Island,3266
Borough,Unknown,35
