first,second,Total Cases
Age Group,0 to 17,1179
Age Group,18 to 44,26331
Age Group,45 to 64,24298
Age Group,65 to 74,8631
Age Group,75 and over,7243
Age Group,Unknown,138
Age 50 and over,Yes,34408
Age 50 and over,No,33274
Sex,Female,30912
Sex,Male,36814
Sex,Unknown,94
Borough,Bronx,13397
Borough,Brooklyn,18215
Borough,Manhattan,9624
Borough,Queens,22767
Borough,Staten Island,3780
Borough,Unknown,37
