first,second,Total Cases
Age Group,0 to 17,748
Age Group,18 to 44,17038
Age Group,45 to 64,14395
Age Group,65 to 74,4883
Age Group,75 and over,3739
Age Group,Unknown,97
Age 50 and over,Yes,19481
Age 50 and over,No,21322
Sex,Female,18264
Sex,Male,22587
Sex,Unknown,49
Borough,Bronx,7625
Borough,Brooklyn,10904
Borough,Manhattan,6446
Borough,Queens,13576
Borough,Staten Island,2314
Borough,Unknown,35
