first,second,Total Cases
Age Group,0 to 17,524
Age Group,18 to 44,11202
Age Group,45 to 64,8745
Age Group,65 to 74,2894
Age Group,75 and over,2141
Age Group,Unknown,67
Age 50 and over,Yes,11606
Age 50 and over,No,13900
Sex,Female,11250
Sex,Male,14279
Sex,Unknown,44
Borough,Bronx,4655
Borough,Brooklyn,6750
Borough,Manhattan,4478
Borough,Queens,8214
Borough,Staten Island,1440
Borough,Unknown,36
