first,second,Total Cases
Age Group,0 to 17,933
Age Group,18 to 44,21423
Age Group,45 to 64,18700
Age Group,65 to 74,6565
Age Group,75 and over,5211
Age Group,Unknown,116
Age 50 and over,Yes,25944
Age 50 and over,No,26888
Sex,Female,24020
Sex,Male,28852
Sex,Unknown,76
Borough,Bronx,9936
Borough,Brooklyn,14420
Borough,Manhattan,7713
Borough,Queens,17832
Borough,Staten Island,3012
Borough,Unknown,35
