first,second,Total Cases
Age Group,0 to 17,1644
Age Group,18 to 44,32565
Age Group,45 to 64,30215
Age Group,65 to 74,10644
Age Group,75 and over,9114
Age Group,Unknown,191
Age 50 and over,Yes,42790
Age 50 and over,No,41392
Sex,Female,38495
Sex,Male,45491
Sex,Unknown,387
Borough,Bronx,17648
Borough,Brooklyn,22550
Borough,Manhattan,11244
Borough,Queens,27063
Borough,Staten Island,5831
Borough,Unknown,37
