first,second,Total Cases
Age Group,0 to 17,1447
Age Group,18 to 44,29977
Age Group,45 to 64,27965
Age Group,65 to 74,9945
Age Group,75 and over,8463
Age Group,Unknown,170
Age 50 and over,Yes,39724
Age 50 and over,No,38073
Sex,Female,35626
Sex,Male,41972
Sex,Unknown,369
Borough,Bronx,15803
Borough,Brooklyn,21109
Borough,Manhattan,10642
Borough,Queens,25715
Borough,Staten Island,4661
Borough,Unknown,37
