first,second,Total Cases
Age Group,0 to 17,400
Age Group,18 to 44,7556
Age Group,45 to 64,5619
Age Group,65 to 74,1843
Age Group,75 and over,1360
Age Group,Unknown,10
Age 50 and over,Yes,7385
Age 50 and over,No,9393
Sex,Female,7303
Sex,Male,9460
Sex,Unknown,25
Borough,Bronx,2789
Borough,Brooklyn,4656
Borough,Manhattan,3187
Borough,Queens,5066
Borough,Staten Island,1084
Borough,Unknown,6
