first,second,Total Cases
Age Group,0 to 17,2070
Age Group,18 to 44,40454
Age Group,45 to 64,38797
Age Group,65 to 74,13483
Age Group,75 and over,11782
Age Group,Unknown,227
Age 50 and over,Yes,54938
Age 50 and over,No,51648
Sex,Female,49617
Sex,Male,56765
Sex,Unknown,431
Borough,Bronx,23352
Borough,Brooklyn,28035
Borough,Manhattan,13705
Borough,Queens,33468
Borough,Staten Island,8198
Borough,Unknown,55
