first,second,Total Cases
Age Group,0 to 17,803
Age Group,18 to 44,18463
Age Group,45 to 64,15818
Age Group,65 to 74,5484
Age Group,75 and over,4241
Age Group,Unknown,106
Age 50 and over,Yes,21655
Age 50 and over,No,23154
Sex,Female,20144
Sex,Male,24715
Sex,Unknown,56
Borough,Bronx,8398
Borough,Brooklyn,12076
Borough,Manhattan,6960
Borough,Queens,14966
Borough,Staten Island,2480
Borough,Unknown,35
