first,second,Total Cases
Age Group,0 to 17,1306
Age Group,18 to 44,27841
Age Group,45 to 64,25937
Age Group,65 to 74,9253
Age Group,75 and over,7844
Age Group,Unknown,143
Age 50 and over,Yes,36892
Age 50 and over,No,35289
Sex,Female,32982
Sex,Male,39214
Sex,Unknown,128
Borough,Bronx,14421
Borough,Brooklyn,19499
Borough,Manhattan,10098
Borough,Queens,24115
Borough,Staten Island,4154
Borough,Unknown,37
