first,second,Total Cases
Age Group,0 to 4,0
Age Group,5 to 17,25
Age Group,18 to 49,457
Age Group,50 to 64,211
Age Group,65 and over,230
Sex,Female,378
Sex,Male,536
Borough,Bronx,106
Borough,Brooklyn,236
Borough,Manhattan,290
Borough,Queens,248
Borough,Staten Island,42
Borough,Unknown,1
