first,second,Total Cases
Age Group,0 to 17,860
Age Group,18 to 44,19835
Age Group,45 to 64,17035
Age Group,65 to 74,5946
Age Group,75 and over,4678
Age Group,Unknown,108
Age 50 and over,Yes,23485
Age 50 and over,No,24869
Sex,Female,21890
Sex,Male,26509
Sex,Unknown,63
Borough,Bronx,9107
Borough,Brooklyn,12983
Borough,Manhattan,7278
Borough,Queens,16336
Borough,Staten Island,2723
Borough,Unknown,35
