first,second,Total Cases
Age Group,0 to 17,1982
Age Group,18 to 44,39068
Age Group,45 to 64,37040
Age Group,65 to 74,12883
Age Group,75 and over,11307
Age Group,Unknown,224
Age 50 and over,Yes,52509
Age 50 and over,No,49771
Sex,Female,47342
Sex,Male,54733
Sex,Unknown,429
Borough,Bronx,22325
Borough,Brooklyn,26956
Borough,Manhattan,13280
Borough,Queens,32123
Borough,Staten Island,7784
Borough,Unknown,36
