dt,first,second,Total Cases
2020-05-06 17:00:00,Age Group,0 to 17,4188
2020-05-06 17:00:00,Age Group,18 to 44,63726
2020-05-06 17:00:00,Age Group,45 to 64,63670
2020-05-06 17:00:00,Age Group,65 to 74,21590
2020-05-06 17:00:00,Age Group,75 and over,19779
2020-05-06 17:00:00,Age Group,Unknown,335
2020-05-06 17:00:00,Age 50 and over,Yes,90189
2020-05-06 17:00:00,Age 50 and over,No,82764
2020-05-06 17:00:00,Sex,Female,83891
2020-05-06 17:00:00,Sex,Male,89195
2020-05-06 17:00:00,Sex,Unknown,202
2020-05-06 17:00:00,Borough,Bronx,39587
2020-05-06 17:00:00,Borough,Brooklyn,46139
2020-05-06 17:00:00,Borough,Manhattan,21470
2020-05-06 17:00:00,Borough,Queens,53692
2020-05-06 17:00:00,Borough,Staten Island,12311
2020-05-06 17:00:00,Borough,Unknown,89
2020-05-06 17:00:00,Borough,Confirmed,13938
2020-05-06 17:00:00,Borough,Probable,5359
2020-03-26 17:00:00,Age Group,0 to 17,470
2020-03-26 17:00:00,Age Group,18 to 44,9618
2020-03-26 17:00:00,Age Group,45 to 64,7445
2020-03-26 17:00:00,Age Group,65 to 74,2471
2020-03-26 17:00:00,Age Group,75 and over,1826
2020-03-26 17:00:00,Age Group,Unknown,43
2020-03-26 17:00:00,Age 50 and over,Yes,9863
2020-03-26 17:00:00,Age 50 and over,No,11967
2020-03-26 17:00:00,Sex,Female,9557
2020-03-26 17:00:00,Sex,Male,12278
2020-03-26 17:00:00,Sex,Unknown,38
2020-03-26 17:00:00,Borough,Bronx,3924
2020-03-26 17:00:00,Borough,Brooklyn,5705
2020-03-26 17:00:00,Borough,Manhattan,3907
2020-03-26 17:00:00,Borough,Queens,7026
2020-03-26 17:00:00,Borough,Staten Island,1276
2020-03-26 17:00:00,Borough,Unknown,35
2020-04-23 17:00:00,Age Group,0 to 17,2961
2020-04-23 17:00:00,Age Group,18 to 44,52380
2020-04-23 17:00:00,Age Group,45 to 64,51998
2020-04-23 17:00:00,Age Group,65 to 74,17846
2020-04-23 17:00:00,Age Group,75 and over,16282
2020-04-23 17:00:00,Age Group,Unknown,287
2020-04-23 17:00:00,Age 50 and over,Yes,73963
2020-04-23 17:00:00,Age 50 and over,No,67504
2020-04-23 17:00:00,Sex,Female,67410
2020-04-23 17:00:00,Sex,Male,74016
2020-04-23 17:00:00,Sex,Unknown,328
2020-04-23 17:00:00,Borough,Bronx,31911
2020-04-23 17:00:00,Borough,Brooklyn,37564
2020-04-23 17:00:00,Borough,Manhattan,17803
2020-04-23 17:00:00,Borough,Queens,43824
2020-04-23 17:00:00,Borough,Staten Island,10582
2020-04-23 17:00:00,Borough,Unknown,70
2020-04-23 17:00:00,Borough,Confirmed,10290
2020-04-23 17:00:00,Borough,Probable,5121
2020-04-02 17:00:00,Age Group,0 to 17,860
2020-04-02 17:00:00,Age Group,18 to 44,19835
2020-04-02 17:00:00,Age Group,45 to 64,17035
2020-04-02 17:00:00,Age Group,65 to 74,5946
2020-04-02 17:00:00,Age Group,75 and over,4678
2020-04-02 17:00:00,Age Group,Unknown,108
2020-04-02 17:00:00,Age 50 and over,Yes,23485
2020-04-02 17:00:00,Age 50 and over,No,24869
2020-04-02 17:00:00,Sex,Female,21890
2020-04-02 17:00:00,Sex,Male,26509
2020-04-02 17:00:00,Sex,Unknown,63
2020-04-02 17:00:00,Borough,Bronx,9107
2020-04-02 17:00:00,Borough,Brooklyn,12983
2020-04-02 17:00:00,Borough,Manhattan,7278
2020-04-02 17:00:00,Borough,Queens,16336
2020-04-02 17:00:00,Borough,Staten Island,2723
2020-04-02 17:00:00,Borough,Unknown,35
2020-04-16 17:00:00,Age Group,0 to 17,2256
2020-04-16 17:00:00,Age Group,18 to 44,44016
2020-04-16 17:00:00,Age Group,45 to 64,42743
2020-04-16 17:00:00,Age Group,65 to 74,14949
2020-04-16 17:00:00,Age Group,75 and over,13366
2020-04-16 17:00:00,Age Group,Unknown,235
2020-04-16 17:00:00,Age 50 and over,Yes,61074
2020-04-16 17:00:00,Age 50 and over,No,56256
2020-04-16 17:00:00,Sex,Female,55036
2020-04-16 17:00:00,Sex,Male,62280
2020-04-16 17:00:00,Sex,Unknown,249
2020-04-16 17:00:00,Borough,Bronx,25638
2020-04-16 17:00:00,Borough,Brooklyn,31279
2020-04-16 17:00:00,Borough,Manhattan,15539
2020-04-16 17:00:00,Borough,Queens,36220
2020-04-16 17:00:00,Borough,Staten Island,8822
2020-04-16 17:00:00,Borough,Unknown,66
2020-04-16 17:00:00,Borough,Confirmed,7563
2020-04-16 17:00:00,Borough,Probable,3914
2020-04-09 17:00:00,Age Group,0 to 17,1644
2020-04-09 17:00:00,Age Group,18 to 44,32565
2020-04-09 17:00:00,Age Group,45 to 64,30215
2020-04-09 17:00:00,Age Group,65 to 74,10644
2020-04-09 17:00:00,Age Group,75 and over,9114
2020-04-09 17:00:00,Age Group,Unknown,191
2020-04-09 17:00:00,Age 50 and over,Yes,42790
2020-04-09 17:00:00,Age 50 and over,No,41392
2020-04-09 17:00:00,Sex,Female,38495
2020-04-09 17:00:00,Sex,Male,45491
2020-04-09 17:00:00,Sex,Unknown,387
2020-04-09 17:00:00,Borough,Bronx,17648
2020-04-09 17:00:00,Borough,Brooklyn,22550
2020-04-09 17:00:00,Borough,Manhattan,11244
2020-04-09 17:00:00,Borough,Queens,27063
2020-04-09 17:00:00,Borough,Staten Island,5831
2020-04-09 17:00:00,Borough,Unknown,37
2020-04-28 17:00:00,Age Group,0 to 17,3555
2020-04-28 17:00:00,Age Group,18 to 44,58042
2020-04-28 17:00:00,Age Group,45 to 64,58143
2020-04-28 17:00:00,Age Group,65 to 74,19749
2020-04-28 17:00:00,Age Group,75 and over,17909
2020-04-28 17:00:00,Age Group,Unknown,315
2020-04-28 17:00:00,Age 50 and over,Yes,82229
2020-04-28 17:00:00,Age 50 and over,No,75169
2020-04-28 17:00:00,Sex,Female,75752
2020-04-28 17:00:00,Sex,Male,81671
2020-04-28 17:00:00,Sex,Unknown,290
2020-04-28 17:00:00,Borough,Bronx,35860
2020-04-28 17:00:00,Borough,Brooklyn,41744
2020-04-28 17:00:00,Borough,Manhattan,19672
2020-04-28 17:00:00,Borough,Queens,48847
2020-04-28 17:00:00,Borough,Staten Island,11520
2020-04-28 17:00:00,Borough,Unknown,70
2020-04-28 17:00:00,Borough,Confirmed,11820
2020-04-28 17:00:00,Borough,Probable,5395
2020-04-04 17:00:00,Age Group,0 to 17,1046
2020-04-04 17:00:00,Age Group,18 to 44,23492
2020-04-04 17:00:00,Age Group,45 to 64,21167
2020-04-04 17:00:00,Age Group,65 to 74,7528
2020-04-04 17:00:00,Age Group,75 and over,6130
2020-04-04 17:00:00,Age Group,Unknown,124
2020-04-04 17:00:00,Age 50 and over,Yes,29761
2020-04-04 17:00:00,Age 50 and over,No,29602
2020-04-04 17:00:00,Sex,Female,26991
2020-04-04 17:00:00,Sex,Male,32412
2020-04-04 17:00:00,Sex,Unknown,84
2020-04-04 17:00:00,Borough,Bronx,11497
2020-04-04 17:00:00,Borough,Brooklyn,16243
2020-04-04 17:00:00,Borough,Manhattan,8653
2020-04-04 17:00:00,Borough,Queens,19793
2020-04-04 17:00:00,Borough,Staten Island,3266
2020-04-04 17:00:00,Borough,Unknown,35
2020-04-10 17:00:00,Age Group,0 to 17,1849
2020-04-10 17:00:00,Age Group,18 to 44,36102
2020-04-10 17:00:00,Age Group,45 to 64,33538
2020-04-10 17:00:00,Age Group,65 to 74,11626
2020-04-10 17:00:00,Age Group,75 and over,10085
2020-04-10 17:00:00,Age Group,Unknown,214
2020-04-10 17:00:00,Age 50 and over,Yes,47298
2020-04-10 17:00:00,Age 50 and over,No,45902
2020-04-10 17:00:00,Sex,Female,42716
2020-04-10 17:00:00,Sex,Male,50293
2020-04-10 17:00:00,Sex,Unknown,405
2020-04-10 17:00:00,Borough,Bronx,20265
2020-04-10 17:00:00,Borough,Brooklyn,24635
2020-04-10 17:00:00,Borough,Manhattan,12088
2020-04-10 17:00:00,Borough,Queens,29409
2020-04-10 17:00:00,Borough,Staten Island,6979
2020-04-10 17:00:00,Borough,Unknown,38
2020-04-25 17:00:00,Age Group,0 to 17,3276
2020-04-25 17:00:00,Age Group,18 to 44,55541
2020-04-25 17:00:00,Age Group,45 to 64,55390
2020-04-25 17:00:00,Age Group,65 to 74,18891
2020-04-25 17:00:00,Age Group,75 and over,17182
2020-04-25 17:00:00,Age Group,Unknown,296
2020-04-25 17:00:00,Age 50 and over,Yes,78515
2020-04-25 17:00:00,Age 50 and over,No,71765
2020-04-25 17:00:00,Sex,Female,72050
2020-04-25 17:00:00,Sex,Male,78193
2020-04-25 17:00:00,Sex,Unknown,333
2020-04-25 17:00:00,Borough,Bronx,33950
2020-04-25 17:00:00,Borough,Brooklyn,39912
2020-04-25 17:00:00,Borough,Manhattan,18701
2020-04-25 17:00:00,Borough,Queens,46786
2020-04-25 17:00:00,Borough,Staten Island,11159
2020-04-25 17:00:00,Borough,Unknown,68
2020-04-25 17:00:00,Borough,Confirmed,10961
2020-04-25 17:00:00,Borough,Probable,5309
2020-05-07 17:00:00,Age Group,0 to 17,4246
2020-05-07 17:00:00,Age Group,18 to 44,64244
2020-05-07 17:00:00,Age Group,45 to 64,64143
2020-05-07 17:00:00,Age Group,65 to 74,21770
2020-05-07 17:00:00,Age Group,75 and over,19971
2020-05-07 17:00:00,Age Group,Unknown,335
2020-05-07 17:00:00,Age 50 and over,Yes,90947
2020-05-07 17:00:00,Age 50 and over,No,83427
2020-05-07 17:00:00,Sex,Female,84656
2020-05-07 17:00:00,Sex,Male,89879
2020-05-07 17:00:00,Sex,Unknown,174
2020-05-07 17:00:00,Borough,Bronx,39878
2020-05-07 17:00:00,Borough,Brooklyn,46579
2020-05-07 17:00:00,Borough,Manhattan,21662
2020-05-07 17:00:00,Borough,Queens,54121
2020-05-07 17:00:00,Borough,Staten Island,12380
2020-05-07 17:00:00,Borough,Unknown,89
2020-05-07 17:00:00,Borough,Confirmed,14162
2020-05-07 17:00:00,Borough,Probable,5378
2020-03-27 17:00:00,Age Group,0 to 17,524
2020-03-27 17:00:00,Age Group,18 to 44,11202
2020-03-27 17:00:00,Age Group,45 to 64,8745
2020-03-27 17:00:00,Age Group,65 to 74,2894
2020-03-27 17:00:00,Age Group,75 and over,2141
2020-03-27 17:00:00,Age Group,Unknown,67
2020-03-27 17:00:00,Age 50 and over,Yes,11606
2020-03-27 17:00:00,Age 50 and over,No,13900
2020-03-27 17:00:00,Sex,Female,11250
2020-03-27 17:00:00,Sex,Male,14279
2020-03-27 17:00:00,Sex,Unknown,44
2020-03-27 17:00:00,Borough,Bronx,4655
2020-03-27 17:00:00,Borough,Brooklyn,6750
2020-03-27 17:00:00,Borough,Manhattan,4478
2020-03-27 17:00:00,Borough,Queens,8214
2020-03-27 17:00:00,Borough,Staten Island,1440
2020-03-27 17:00:00,Borough,Unknown,36
2020-04-22 17:00:00,Age Group,0 to 17,2839
2020-04-22 17:00:00,Age Group,18 to 44,51217
2020-04-22 17:00:00,Age Group,45 to 64,50694
2020-04-22 17:00:00,Age Group,65 to 74,17474
2020-04-22 17:00:00,Age Group,75 and over,15932
2020-04-22 17:00:00,Age Group,Unknown,279
2020-04-22 17:00:00,Age 50 and over,Yes,72238
2020-04-22 17:00:00,Age 50 and over,No,65918
2020-04-22 17:00:00,Sex,Female,65670
2020-04-22 17:00:00,Sex,Male,72444
2020-04-22 17:00:00,Sex,Unknown,321
2020-04-22 17:00:00,Borough,Bronx,31130
2020-04-22 17:00:00,Borough,Brooklyn,36699
2020-04-22 17:00:00,Borough,Manhattan,17495
2020-04-22 17:00:00,Borough,Queens,42637
2020-04-22 17:00:00,Borough,Staten Island,10405
2020-04-22 17:00:00,Borough,Unknown,69
2020-04-22 17:00:00,Borough,Confirmed,9944
2020-04-22 17:00:00,Borough,Probable,5052
2020-04-17 17:00:00,Age Group,0 to 17,2395
2020-04-17 17:00:00,Age Group,18 to 44,45648
2020-04-17 17:00:00,Age Group,45 to 64,44460
2020-04-17 17:00:00,Age Group,65 to 74,15490
2020-04-17 17:00:00,Age Group,75 and over,13892
2020-04-17 17:00:00,Age Group,Unknown,263
2020-04-17 17:00:00,Age 50 and over,Yes,63461
2020-04-17 17:00:00,Age 50 and over,No,58424
2020-04-17 17:00:00,Sex,Female,57327
2020-04-17 17:00:00,Sex,Male,64566
2020-04-17 17:00:00,Sex,Unknown,255
2020-04-17 17:00:00,Borough,Bronx,27014
2020-04-17 17:00:00,Borough,Brooklyn,32499
2020-04-17 17:00:00,Borough,Manhattan,15952
2020-04-17 17:00:00,Borough,Queens,37447
2020-04-17 17:00:00,Borough,Staten Island,9166
2020-04-17 17:00:00,Borough,Unknown,70
2020-04-17 17:00:00,Borough,Confirmed,7890
2020-04-17 17:00:00,Borough,Probable,4309
2020-04-03 17:00:00,Age Group,0 to 17,933
2020-04-03 17:00:00,Age Group,18 to 44,21423
2020-04-03 17:00:00,Age Group,45 to 64,18700
2020-04-03 17:00:00,Age Group,65 to 74,6565
2020-04-03 17:00:00,Age Group,75 and over,5211
2020-04-03 17:00:00,Age Group,Unknown,116
2020-04-03 17:00:00,Age 50 and over,Yes,25944
2020-04-03 17:00:00,Age 50 and over,No,26888
2020-04-03 17:00:00,Sex,Female,24020
2020-04-03 17:00:00,Sex,Male,28852
2020-04-03 17:00:00,Sex,Unknown,76
2020-04-03 17:00:00,Borough,Bronx,9936
2020-04-03 17:00:00,Borough,Brooklyn,14420
2020-04-03 17:00:00,Borough,Manhattan,7713
2020-04-03 17:00:00,Borough,Queens,17832
2020-04-03 17:00:00,Borough,Staten Island,3012
2020-04-03 17:00:00,Borough,Unknown,35
2020-04-08 17:00:00,Age Group,0 to 17,1447
2020-04-08 17:00:00,Age Group,18 to 44,29977
2020-04-08 17:00:00,Age Group,45 to 64,27965
2020-04-08 17:00:00,Age Group,65 to 74,9945
2020-04-08 17:00:00,Age Group,75 and over,8463
2020-04-08 17:00:00,Age Group,Unknown,170
2020-04-08 17:00:00,Age 50 and over,Yes,39724
2020-04-08 17:00:00,Age 50 and over,No,38073
2020-04-08 17:00:00,Sex,Female,35626
2020-04-08 17:00:00,Sex,Male,41972
2020-04-08 17:00:00,Sex,Unknown,369
2020-04-08 17:00:00,Borough,Bronx,15803
2020-04-08 17:00:00,Borough,Brooklyn,21109
2020-04-08 17:00:00,Borough,Manhattan,10642
2020-04-08 17:00:00,Borough,Queens,25715
2020-04-08 17:00:00,Borough,Staten Island,4661
2020-04-08 17:00:00,Borough,Unknown,37
2020-04-29 17:00:00,Age Group,0 to 17,3631
2020-04-29 17:00:00,Age Group,18 to 44,58866
2020-04-29 17:00:00,Age Group,45 to 64,58877
